user_id,signup_timestamp,email_domain,user_population_type,is_abuse_ring,ring_id,ring_type
usr_00001,2025-07-28 15:38:09,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00002,2025-11-13 04:37:03,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00003,2026-03-10 12:34:34,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00004,2025-12-27 15:48:59,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00005,2026-01-16 01:02:41,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00006,2026-03-13 10:44:11,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00007,2026-01-12 11:38:36,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00008,2026-01-28 18:45:17,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00009,2025-10-27 07:49:10,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00010,2025-07-07 20:13:40,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00011,2025-12-13 02:37:36,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00012,2025-12-20 10:11:00,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00013,2025-11-22 09:07:01,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00014,2025-08-06 03:47:53,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00015,2025-07-11 03:10:15,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00016,2025-08-02 06:24:19,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00017,2026-01-31 12:44:48,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00018,2026-02-18 01:36:33,icloud.com,BENIGN_ISOLATED,0,,NONE
usr_00019,2025-12-24 23:05:15,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00020,2025-10-23 22:52:47,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00021,2026-02-15 11:40:11,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00022,2026-03-20 14:42:30,proton.me,BENIGN_ISOLATED,0,,NONE
usr_00023,2025-08-27 11:52:32,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00024,2026-01-20 02:07:42,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00025,2025-10-27 14:47:57,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00026,2025-07-18 09:24:31,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00027,2025-08-02 14:24:51,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00028,2025-08-25 17:38:57,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00029,2025-08-01 18:38:52,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00030,2026-01-03 17:03:53,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00031,2026-01-14 12:56:33,proton.me,BENIGN_ISOLATED,0,,NONE
usr_00032,2025-11-12 14:19:26,proton.me,BENIGN_ISOLATED,0,,NONE
usr_00033,2025-12-08 15:07:50,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00034,2026-03-19 14:21:58,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00035,2025-10-01 21:44:10,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00036,2025-11-09 17:50:27,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00037,2025-12-22 05:08:19,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00038,2025-11-13 14:09:09,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00039,2026-01-20 20:00:57,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00040,2025-11-26 04:29:30,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00041,2025-08-25 11:31:08,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00042,2025-11-22 00:09:24,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00043,2025-10-02 10:26:04,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00044,2025-07-23 14:41:03,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00045,2025-12-30 19:32:52,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00046,2026-01-14 02:44:27,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00047,2025-09-07 07:24:24,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00048,2026-03-20 03:20:13,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00049,2026-01-31 08:58:22,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00050,2026-03-04 20:29:58,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00051,2025-10-21 18:23:10,icloud.com,BENIGN_ISOLATED,0,,NONE
usr_00052,2025-10-28 15:43:25,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00053,2026-02-04 17:27:10,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00054,2026-01-03 02:05:33,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00055,2025-12-29 07:04:40,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00056,2025-11-30 10:56:04,icloud.com,BENIGN_ISOLATED,0,,NONE
usr_00057,2025-07-26 09:42:30,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00058,2026-02-02 01:16:17,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00059,2025-08-12 23:53:26,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00060,2025-07-29 18:42:07,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00061,2025-07-27 20:40:09,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00062,2025-08-01 23:02:43,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00063,2025-10-16 19:22:59,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00064,2026-02-05 12:42:37,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00065,2025-08-17 02:58:31,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00066,2025-07-06 15:04:20,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00067,2026-01-01 20:37:54,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00068,2025-09-27 08:04:24,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00069,2025-09-24 20:46:13,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00070,2025-09-02 04:19:53,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00071,2025-08-03 00:50:56,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00072,2025-09-29 19:46:00,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00073,2025-10-14 04:43:39,proton.me,BENIGN_ISOLATED,0,,NONE
usr_00074,2025-07-06 13:22:10,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00075,2025-07-08 00:33:20,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00076,2025-09-28 16:56:47,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00077,2025-10-05 19:27:50,icloud.com,BENIGN_ISOLATED,0,,NONE
usr_00078,2026-01-09 09:14:44,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00079,2025-12-10 16:41:02,yahoo.com,BENIGN_ISOLATED,0,,NONE
usr_00080,2025-10-14 08:22:13,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00081,2026-03-16 13:24:55,proton.me,BENIGN_ISOLATED,0,,NONE
usr_00082,2025-08-01 18:30:47,gmail.com,BENIGN_ISOLATED,0,,NONE
usr_00083,2026-01-03 06:34:43,outlook.com,BENIGN_ISOLATED,0,,NONE
usr_00084,2025-07-14 03:05:57,gmail.com,BENIGN_ISOLATED,0,,NONE
